"code","page","keywords","urls","snippet"
"CA","1","portal","","California Division 650 Capitol Mall, Suite 4-100 Sacramento, CA 95814 (916) 498-5001 (916) 498-5008 (FAX) January 10, 2024 In Reply, Refer To: HDA-CA ELECTRONIC CORRESPONDENCE ONLY Tony Tavares, Director California Department of Transportation P.O. Box 942873, MS-49 Sacramento, CA 94273-0001 Attention: Lucas Sanchez, Climate Change Specialist Office of Air Quality and Climate Change Division of Transportation Planning Subject: State Climate Resilience Improvement Plan for Transportation (SCRIPT) Dear Mr. Tavares: The Federal Highway Administration (FHWA) has completed its review of the California Department of Transportation (Caltrans) Resiliency Improvement Plan, formally known as the State Climate Resilience Improvement Plan for Transportation (SCRIPT), submitted by your letter dated December 18, 2023. Based on the review of the SCRIPT, The FHWA finds that the Caltrans Resiliency Plan complies with the requirements of 23 U.S.C. 176(e). The SCRIPT is incorporated into the California Transportation Plan (C.T.P.) 2050 by addendum, as reflected on the C.T.P. 2050 Webpage and related C.T.P. Implementation Portal. For the authorization of SCRIPT projects requesting Non-Federal share r"
"CA","4","tool; RIT","","CALIFORNIA STATE TRANSPORTATION AGENCY California Department of Transportation OFFICE OF THE DIRECTOR P.O. BOX 942873, MS-49 I SACRAMENTO, CA 94273-0001 (916) 654-6130 I FAX (916) 653-5776 TTY 711 www.dot.ca.gov December 18, 2023 Ms. E issa Konove Deputy Division Administrator Federal Highway Administration 650 Capitol Mall, Ste. 4-100 Sacramento, California 95814-4708 l GAVIN NEWSOM, GOVERNOR Attention: Antonio Johnson, Director, P anning, Environment, & Right of Way l - - Dear Ms. Elissa Konove: On behalf of the California Department of Transportation (Caltrans), I am pleased to present the State Climate Resilience Improvement Plan for Transportation (SCRIPT). The SCRIPT is the Caltrans version of the Resilience Improvement Plan, described in the Promoting Resilient Operations for Transformative, Efficient, and Cost-saving Transportation (PROTECT) program statutes (23 USC 176 (e)). The SCRIPT summarizes the breadth of existing climate adaptation policies, tools, guidance, and activities that have positioned Caltrans and its partners to take a systemic approach to making immediate and long-range investments to improve the resilience of the multimodal transportation system to clima"
"CA","5","portal","","California Division 650 Capitol Mall, Suite 4-100 Sacramento, CA 95814 June 25, 2024 (916) 498-5001 HDACA@dot.gov In Reply, Refer To: HDA-CA ELECTRONIC CORRESPONDENCE ONLY Marlon Flournoy, Division Chief Division of Transportation Planning California Department of Transportation P.O. Box 942873, MS-49 Sacramento, CA 94273-0001 ATTENTION: Lucas Sanchez, Climate Change Specialist Office of Air Quality and Climate Change Division of Transportation Planning SUBJECT: State Climate Resilience Improvement Plan for Transportation (SCRIPT) Amendment # 1 Dear Mr. Flournoy and Mr. Sanchez, The Federal Highway Administration (FHWA) has completed its review of the California Department of Transportation (Caltrans) Resiliency Improvement Plan, formally known as the State Climate Resilience Improvement Plan for Transportation (SCRIPT), Amendment #1 submitted by your letter dated May 28, 2024. Based on the review of the SCRIPT, the FHWA finds that the Caltrans Resiliency Plan (SCRIPT) Amendment #1 complies with the requirements of 23 U.S.C. 176(e). The SCRIPT is incorporated into the California Transportation Plan (C.T.P.) 2050 by addendum, as reflected on the C.T.P. 2050 Webpage and related C.T.P"
"CA","8","portal; RIT","","DIVISION OF TRANSPORTATION PLANNING P.O. BOX 942873, MS–32 | SACRAMENTO, CA 94273–0001 (916) 654-6130 | FAX (916) 653-5776 TTY 711 www.dot.ca.gov/programs/transportation-planning 5/28/2024 Mr. Antonio Johnson Director, Planning, Environment, & Right-of-Way Federal Highway Administration 650 Capitol Mall, Ste. 4-100 Sacramento, California 95814-4708 Attention: Jasmine Amanin, Community Planner, Planning, Environment, & Right-of-Way Dear Mr. Antonio Johnson: On behalf of the California Department of Transportation (Caltrans), I am pleased to present Amendment 1 to the State Climate Resilience Improvement Plan for Transportation (SCRIPT) unconstrained Project Priority List (PPL). The SCRIPT PPL Amendment 1 includes minor updates to projects previously included in the PPL as submitted on 12/18/2023, and approved on 1/10/2024, and the addition of new project nominations pursuing near-term and upcoming PROTECT funding opportunities. The projects included in the attachment reflect high priority resilience needs for both Caltrans and regional and local partners. The projects were screened for PROTECT program eligibility and fit, as well as alignment with related federal and state resilienc"
"CA","10","tool; RIT; Adaptation Priorities Reports","","STATE CLIMATE RESILIENCE IMPROVEMENT PLAN FOR TRANSPORTATION II Table of Contents Table of Contents EXECUTIVE SUMMARY 01 INTRODUCTION 02 ADAPTATION & RESILIENCE POLICY LANDSCAPE IN CALIFORNIA 04 2.1: California State Transportation Agency & Caltrans Climate Policy 06 2.2: Key Climate Adaptation Guidance for State Agencies 08 2.3: Climate Science in California – Climate Change Assessments 10 2.4: Equity & Climate Justice in Adaptation & Resilience Planning 10 CALTRANS CLIMATE ADAPTATION EFFORTS 13 3.1: Climate Adaptation Efforts by Division 14 3.2: Caltrans Statewide Vulnerability & Risk Assessments & Adaptation Priorities Reports 17 HOW THE PROTECT PROGRAM IS ADMINISTERED IN CALIFORNIA 20 4.1: Senate Bill 198 20 4.2: State Transportation Infrastructure Climate Adaptation Program 21 4.3: Local Transportation Climate Adaptation Program 22 4.4: Looking Forward, the Future of Resilience Improvement Planning 23 APPENDIX 24 A. Statewide Vulnerability Assessment Summary Report & District Vulnerability Assessments 24 B. District Adaptation Priorities Reports 24 C. Caltrans Climate Change Adaptation Strategy Report 24 D. List of Equity Tools for Adaptation Planning and Program Implementatio"
"CA","11","tool; gis; RIT","","STATE CLIMATE RESILIENCE IMPROVEMENT PLAN FOR TRANSPORTATION 01 Executive Summary EXECUTIVE SUMMARY As part of the Infrastructure Investment and Jobs Act (IIJA, otherwise known as the Bipartisan Infrastructure Law) in 2021, the Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) Federal Aid Program was created. PROTECT’s purpose is to help make surface transportation more resilient to natural hazards, including climate change, sea level rise, flooding, extreme weather events, and other natural disasters through support of planning activities, resilience improvements, community resilience and evacuation routes, and at-risk coastal infrastructure. The PROTECT program invites states to create a Resilience Improvement Plan, an optional component that can reduce the state and local cost-share of certain identified projects by up to ten percent. The State Climate Resilience Improvement Plan for Transportation (SCRIPT) answers that invitation by summarizing the breadth of existing climate adaptation policies, tools, guidance, and activities that have positioned Caltrans and its partners to take a systemic approach to making immediate and "
"CA","12","VAST; RIT","","STATE CLIMATE RESILIENCE IMPROVEMENT PLAN FOR TRANSPORTATION 02 Section 1: Introduction California’s vast transportation network contains over 220,000 miles of combined roads and highways, including more than 13,000 bridges and tunnels, in addition to 300 airports, 10,000 miles of rail, and an extensive network of seaports that deliver goods across the nation. As the third largest state by land area, California’s system traverses a diverse range of geographies including deserts, mountains, coastal areas, and floodplains that experience a range of complex impacts as the climate changes. Climate change is steadily increasing the stress and exposures that this infrastructure is experiencing, requiring more frequent repairs and adaptation improvements. While infrastructure has traditionally been designed to endure a set of extreme weather events and frequencies, climate change is increasing the severity, frequency, and duration of these events, requiring advanced planning and innovation to adapt to the new norm. The Governor’s Office of Planning and Research (OPR)’s Integrated Climate Adaptation and Resiliency Program (ICARP) defines adaptation to climate change as “an adjustment in na"
"CA","13","tool; gis; RIT; Adaptation Priorities Reports","https://climateresilience.ca.gov/","STATE CLIMATE RESILIENCE IMPROVEMENT PLAN FOR TRANSPORTATION 03 Section 1: Introduction as integrated into California’s existing adaptation framework. In June 2022, the California Legislature enacted Senate Bill (SB) 198 (Government Code § 14560) establishing two programs to allocate PROTECT Program formula funds. SB 198 ensures state and local spending of PROTECT formula funds will be in alignment with existing state climate change adaptation policy and guidance, including the California Climate Adaptation Strategy.1 SB 198 focuses California’s PROTECT investments on improving the transportation system’s resilience to current and future climate change impacts based on the latest available science and tools. The bill also requires the consideration of various eligible co-beneficial project elements for other state goals, including benefits to disadvantaged communities, goods movement, and reductions to greenhouse gases and vehicle miles traveled, among others (for more information on SB 198, see Section 4). In this first edition of the PROTECT SCRIPT, Caltrans demonstrates how the Department has responded to the adaptation policy landscape in California by setting up a 1 California"
"CA","14","gis; RIT","https://resilientca.org/apg/; https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml","Section 2: Adaptation & Resilience Policy Landscape in California STATE CLIMATE RESILIENCE IMPROVEMENT PLAN FOR TRANSPORTATION 04 California is a national leader in adopting and implementing comprehensive adaptation and resilience policies through legislation, executive orders, and strategic direction within public agencies. Climate leadership has set the state on a path to prepare for and respond to the worst projected impacts of climate change over the next century. Several California state climate change adaptation policies apply to Caltrans’ decision-making. Some of the major Executive Orders (E.O.s) and legislative requirements include:  SB 246 (Public Resources Code § 71350 (2015)) - Established the ICARP to be administered by the OPR to coordinate regional and local efforts with State Climate Adaptation Strategies to adapt to the impacts of climate change, as specified; Requires ICARP and CalOES to co-create the Adaptation Planning Guide (APG) for local and regional agencies.2  Executive Order (E.O.) B-30-15 (2015): Requires the consideration of climate change in all state investment decisions through the use of full life cycle cost 2 OPR, Adaptation Planning Guide: https:"
"CA","15","gis; RIT","https://leginfo.legislature.ca.gov/faces/billNavClient.","Section 2: Adaptation & Resilience Policy Landscape in California STATE CLIMATE RESILIENCE IMPROVEMENT PLAN FOR TRANSPORTATION 05 infrastructure. It also created a Climate- Safe Infrastructure Working Group consisting of engineers and architects with relevant experience from multiple state agencies, including Caltrans.4,5 As an outcome of AB 1482, the California Climate Adaptation Strategy (Strategy) is the umbrella policy document shaping adaptation planning efforts across state agencies. The latest version of the Strategy, released in 2021, summarizes current and future cross-sector efforts to execute the state’s six climate resilience priorities. The priorities integrate transportation with other major sectors to build holistic resilience outcomes. The six climate resilience priorities identified in the latest version of the Strategy include: 4 AB 2800, California Legislative Information, September 24, 2016: https://leginfo.legislature.ca.gov/faces/billNavClient. xhtml?bill_id=201520160AB2800 5 California Natural Resources Agency, Paying it Forward: The Path Toward Climate Safe Infrastructure in California: https:// resources.ca.gov/CNRALegacyFiles/docs/climate/ab2800/AB2800_Cli"
