state,dot,name,type,dot_specific,access,url,provides,level,connection,source,notes
CA,Caltrans,State Climate Resilience Improvement Plan for Transportation (SCRIPT),RIP / final output page,Yes,Public,https://www.caltransinnovationexpo.com/virtual-exhibit-hall/research-projects/state-climate-resilience-improvement-plan-script,Final SCRIPT output page; documents project-prioritization methodology and PROTECT cost-share benefit.,Project list / statewide program,Direct RIP output and amendment framework.,Caltrans Innovation Expo SCRIPT page; Caltrans SCRIPT FAQ,Not an interactive risk dashboard.
CA,Caltrans,Resiliency Planning Branch climate resilience outputs,Program output page,Yes,Public,https://dot.ca.gov/programs/transportation-planning/division-of-transportation-planning/air-quality-conformity-and-resiliency-planning/resiliency-planning-branch,Links to statewide vulnerability assessments and Adaptation Priorities Reports.,State Highway System; district/facility level reports,SCRIPT relies on earlier Caltrans vulnerability assessments and APRs.,Caltrans Resiliency Planning Branch page,Centralizes Caltrans climate vulnerability and adaptation report outputs.
CA,Caltrans,DEA Vulnerability Assessments GIS service,GIS data service,Yes,Public service endpoint,https://caltrans-gis.dot.ca.gov/arcgis/rest/services/HQstatewide/DEA_Vulnerability_Assessments/MapServer,Caltrans GIS layers related to vulnerability assessments.,Asset/corridor GIS features,Underlying GIS output from Caltrans climate vulnerability assessment work referenced by SCRIPT.,Caltrans ArcGIS REST service,Technical map-service endpoint rather than polished dashboard.
CO,CDOT,Risk and Resilience Program page,Program / RIP output page,Yes,Public,https://www.codot.gov/programs/planning/cdot-resilience-program,"CDOT resilience definition, RIP link, climate/geohazard study link, and I-70 Risk and Resilience Pilot StoryMap link.",Statewide program; corridor pilot,Direct CDOT resilience program page supporting the RIP.,CDOT Risk and Resilience Program page,Public page confirms resilience program and links to pilot materials.
CO,CDOT,Asset Resiliency Mapping Application / Risk and Resilience Suite of Tools,Internal/planned tool described in RIP,Yes,Public access not confirmed,https://www.codot.gov/programs/planning/cdot-resilience-program,RIP describes asset risk/resilience mapping and a suite of tools for planning and project decisions.,Asset and corridor screening,Directly described in CDOT RIP; no public standalone app URL confirmed.,CDOT RIP PDF; CDOT program page,"Tool described, not a public dashboard."
CT,CTDOT,CTDOT Resilience Improvement Plan,RIP final PDF/output,Yes,Public,https://portal.ct.gov/dot/-/media/dot/programs/rip/ctdot-resilience-improvement-plan.pdf,Final RIP document; references vulnerability assessment work under development.,Statewide network / program,Direct RIP output.,CTDOT RIP PDF,No public CTDOT RIP-specific dashboard or risk viewer found.
CT,CTDOT,CTDOT vulnerability assessment / resilience viewer,Tool under development,Yes,Not public / under development,,RIP notes vulnerability assessment work but no final public online viewer was found.,To be determined,Future implementation item related to RIP.,CTDOT RIP PDF,Keep as no public tool found unless CTDOT later publishes one.
DE,DelDOT,DelDOT Resilience Improvement Plan (DRIP),RIP final PDF/output,Yes,Public,https://deldot.gov/Publications/reports/DRIP/pdfs/DRIP_FHWA_Approved_2023.pdf,FHWA-approved DRIP; includes methodology and proposed quantification model direction.,Statewide and project/program planning,Direct RIP output.,DelDOT DRIP PDF,No public DRIP-specific dashboard found.
DE,DelDOT,DelDOT Interactive Maps,Generic DOT map portal,"Related, not RIP-specific",Public,https://deldot.gov/map/,General DelDOT public mapping including roadway/travel/map products.,Network/map layer level,"Useful DOT GIS output, but not a DRIP risk-scoring dashboard.",DelDOT public map portal,"Related public GIS, not final DRIP tool."
FL,FDOT,FDOT Resilience Action Plan (RAP) page,RAP / final output page,Yes,Public,https://www.fdot.gov/planning/policy/resilience/resilience-action-plan,"Official RAP landing page with the final Resilience Action Plan, FAQ, Appendix A project list, RAP Data Viewer, data sources, and engagement materials.",State Highway System / program / project list,"Correct FDOT resilience plan output; RAP assesses flooding, storms, and sea level rise impacts on the State Highway System.",FDOT RAP page,Replaces the earlier CEP-only row; CEP is only a supporting engagement document.
FL,FDOT,FDOT Resilience Action Plan final PDF,Final plan PDF,Yes,Public,https://fdotwww.blob.core.windows.net/sitefinity/docs/default-source/planning/policy/resilience/report_fdot_resilienceactionplan_final-spreads.pdf?sfvrsn=e8e70a39_2,"Final RAP report; defines key terms, summarizes SHS vulnerability assessment, prioritization criteria, resilience needs, and strategies.",State Highway System / prioritized resilience needs,Primary FDOT resilience action plan document.,FDOT RAP final PDF,Downloaded locally as FL_FDOT_Resilience_Action_Plan_2023.pdf.
FL,FDOT,RAP Data Viewer,Interactive map / data viewer,Yes,Public,https://gis.fdot.gov/arcgisportal/apps/webappviewer/index.html?id=65f9ba0016a74039b264e1df1b1994f9,FDOT RAP online data viewer for resilience-related map/data layers.,State Highway System / mapped data layers,Direct online tool linked from the FDOT RAP page.,FDOT RAP page; RAP Data Viewer,Public ArcGIS web application.
FL,FDOT,FDOT RAP Appendix A Project List,Project list PDF,Yes,Public,https://fdotwww.blob.core.windows.net/sitefinity/docs/default-source/planning/policy/resilience/fdot-resilience-action-plan---appendix-a-%28project-list%29.pdf?sfvrsn=f2c4cf1f_2,"Prioritized project list with district, tier, SIS flag, description, time frame, cost, and adaptation strategy.",Project level,Direct RAP appendix for prioritized resilience needs/projects.,FDOT RAP Appendix A,Useful for existing/planned project assessment.
IA,Iowa DOT,Iowa DOT Resilience Improvement Plan page,RIP final output page,Yes,Public,https://iowadot.gov/transportation-development/systems-planning/areas-planning/transportation-plans/resilience-improvement-plan,Iowa DOT RIP landing page and plan download.,Statewide program / project selection,Direct RIP output.,Iowa DOT RIP page,No public interactive risk dashboard found.
IA,Iowa DOT,Iowa Resilience Toolkit,Related external/state toolkit,Related external,Public,https://www.iowaresilience.com/,General resilience planning toolkit used in Iowa planning context.,Community / organization planning,Related resilience resource; not an Iowa DOT RIP scoring dashboard.,Iowa Resilience Toolkit website,Include separately from DOT-specific tools.
KY,KYTC,KYTC Resiliency Improvement Plan,RIP final PDF/output,Yes,Public,https://transportation.ky.gov/Planning/Documents/KYTC%20Resiliency%20Improvement%20Plan%202023.pdf,Final KYTC RIP; uses FHWA vulnerability/risk concepts and project/program prioritization.,Statewide network / project planning,Direct RIP output.,KYTC RIP PDF,No public KYTC-specific interactive RIP dashboard found.
KY,KYTC,FHWA Vulnerability Assessment Scoring Tool (VAST),External input/scoring tool,External FHWA,Public,https://www.fhwa.dot.gov/environment/sustainability/resilience/tools/,FHWA resilience/vulnerability assessment tools and framework resources.,Asset/system assessment depending on agency setup,Referenced/consistent with FHWA approach used by several RIPs.,FHWA resilience tools page,External tool; not a KYTC-owned dashboard.
MD,MDOT / SHA,MDOT Climate Change Vulnerability Viewer (CCVV),Interactive viewer / StoryMap,Yes,Public,https://storymaps.arcgis.com/stories/d14029580e314f089267968010179c32,AGOL web application showing climate data layers and transportation infrastructure for vulnerability screening.,Asset / roadway / bridge / parcel / flood layer viewer,MDOT TRIP references updating/using CCVV to support vulnerability assessment and decision-making.,MDOT SHA CCVV StoryMap; MDOT TRIP PDF,Strongest public RIP-related dashboard found for Maryland.
MD,MDOT / SHA,Climate Change Vulnerability Viewer web app,Interactive map app,Yes,Public,https://www.arcgis.com/apps/webappviewer/index.html?id=86b5933d2d3e45ee8b9d8a5f03a7030c,"Map viewer for storm surge, sea level rise, roadway, bridge, traffic, emergency, and related climate layers.",Asset and hazard layer level,Operational viewer supporting MDOT climate vulnerability work.,ArcGIS CCVV application,Direct web-app link.
MI,MDOT (Michigan),Michigan DOT Resilience Improvement Plan,RIP final PDF/output,Yes,Public,https://www.michigan.gov/mdot/-/media/Project/Websites/MDOT/Programs/Planning/Resilience/MDOT-Resilience-Improvement-Plan.pdf,Final RIP and strategy/project framework.,Statewide program / network,Direct RIP output.,Michigan DOT RIP PDF,No public MDOT RIP risk-scoring viewer/dashboard found.
MN,MnDOT,Transportation System Resilience page,RIP final output page,Yes,Public,https://www.dot.state.mn.us/sustainability/resilience.html,"MnDOT RIP downloads, appendices, and Appendix E guidance for Interactive Climate Risk Scores Map.",Statewide / district / asset layer guidance,Direct RIP landing page.,MnDOT Transportation System Resilience page,Public page confirms an interactive climate risk scores map guidance appendix.
MN,MnDOT,Interactive Climate Risk Scores Map,Interactive map described by appendix,Yes,Public access not confirmed,https://www.dot.state.mn.us/sustainability/resilience.html,RIP Appendix E provides guidance for an interactive map of climate risk scores.,Transportation system assets / mapped segments,Directly tied to MnDOT RIP risk vulnerability assessment.,MnDOT RIP Appendix E via resilience page,Could not confirm a public standalone map URL.
MS,MDOT (Mississippi),Mississippi DOT Resilience Improvement Plan,RIP final PDF/output,Yes,Public,https://mdot.ms.gov/documents/Planning/Reports/Resilience%20Improvement%20Plan.pdf,Final RIP including vulnerability index maps and project direction.,Statewide / county / infrastructure planning,Direct RIP output.,Mississippi DOT RIP PDF,No public Mississippi RIP-specific dashboard found.
MS,MDOT (Mississippi),FEMA National Risk Index,External input tool,External FEMA,Public,https://hazards.fema.gov/nri/,County/census tract natural hazard risk indicators used by many resilience plans.,County / census tract,Related input context for hazard/risk screening; not DOT-specific.,FEMA NRI website,External reference only.
NC,NCDOT,Resilience Analysis Framework for Transportation (RAFT),Restricted/public landing tool suite,Yes,Public landing; account required for apps,https://raft.nc.gov/applications.php,Platform containing CRIS and Roadway Inundation Tool applications for climate/flood resilience planning.,Roadway and crossing level; coastal county and statewide crossing tools,NCDOT resilience strategy/RIP uses outputs from CRIS/RIT/FIMAN-type tools.,NCDOT RAFT applications page,Applications require registered RAFT account and may require permissions.
NC,NCDOT,FIMAN / FIMAN-T,Interactive flood map / alert tool,Yes with NCEM,Public,https://fiman.nc.gov/,"Real-time water levels, flood inundation products, road inundation levels, bridge and substructure layers.",Gauge / road / bridge / inundation asset level,NCDOT flood-warning and resilience planning support tool.,NC FIMAN public app; NCDOT flood warning system page,Public statewide flood/transportation impact viewer.
NC,NCDOT,NCDOT Flood Warning System page,Program output page,Yes,Public,https://www.ncdot.gov/initiatives-policies/Transportation/flood-warning-system/Pages/default.aspx,"Explains FIMAN-T, BridgeWatch, and Transportation Surge Analysis Predictive Program.",Road/bridge/flood impact monitoring,Operational resilience tool suite related to NCDOT RIP recommendations.,NCDOT Flood Warning System page,Useful source page for tool descriptions.
NM,NMDOT,NMDOT Resilience Improvement Plan,RIP final PDF/output,Yes,Public,https://www.dot.nm.gov/planning-research-multimodal-and-safety/planning-division/resiliency-improvement-plan/,NMDOT RIP output and hotspot/risk framework.,Statewide / district / hotspot maps,Direct RIP output.,NMDOT RIP page/PDF,No public interactive dashboard found; RIP maps appear as report outputs.
OH,ODOT (Ohio),Ohio DOT Resilience Improvement Plan,RIP final PDF/output,Yes,Public,https://www.transportation.ohio.gov/programs/technical-services/resilience-improvement-plan,ODOT RIP output and vulnerability/prioritization methodology.,Statewide network / project planning,Direct RIP output.,Ohio DOT RIP page,No public ODOT RIP-specific dashboard found.
OR,ODOT (Oregon),Climate Change Adaptation and Resilience page,RIP final output page,Yes,Public,https://www.oregon.gov/odot/climate/Pages/Adaptation-and-Resilience.aspx,"ODOT climate adaptation/RIP page with roadmap/RIP, executive summary, and climate hazard risk maps link.",Statewide / hazard-risk mapping,Direct RIP/roadmap landing page.,ODOT Climate Change Adaptation and Resilience page,Public page says Climate Hazard Risk maps are available.
OR,ODOT (Oregon),ODOT Climate Hazard Risk Map Guide,Map guide / method output,Yes,Public,https://www.oregon.gov/odot/climate/Documents/Climate%20Hazard%20Risk%20Map%20Guidance.pdf,Guide for Climate Hazard Risk map; explains that the map views human and infrastructure vulnerability together.,Statewide infrastructure/human vulnerability mapping,Supports ODOT climate hazard risk maps and RIP/roadmap.,ODOT Climate Hazard Risk Map Guidance PDF,Use if direct web-app URL changes or requires referral.
OR,ODOT (Oregon),Climate Hazard Risk Mapping GIS service,GIS data service,Yes,Public service endpoint,https://gis.odot.state.or.us/arcgis1006/rest/services/agol/climate_hazard_mapping/MapServer,Map service data for Climate Hazard Risk Web Application.,GIS layer / mapped risk features,Underlying service for ODOT Climate Hazard Risk Web Application.,ODOT ArcGIS REST service,Technical endpoint; not preferred public viewer UI.
RI,RIDOT,RIDOT Resilience Improvement Plan,RIP final PDF/output,Yes,Public,https://www.dot.ri.gov/documents/about/protect/RIDOT_Approved_RIP.pdf,Approved RIP with vulnerability/risk maps and appendices.,Statewide / asset and project planning,Direct RIP output.,RIDOT approved RIP PDF,No public RIDOT RIP-specific dashboard found.
TX,TxDOT,Statewide Transportation Resilience Plan page,RIP/STRP final output page,Yes,Public,https://www.txdot.gov/projects/planning/statewide-resilience-plan.html,"STRP page, FHWA approval status, strategy counts, performance measures, and resilience project count.",Statewide multimodal network / strategies / projects,"FHWA approved STRP as TxDOT RIP on Jan. 5, 2026.",TxDOT STRP page,Strong public final output page; no dedicated vulnerability dashboard found.
TX,TxDOT,Statewide Planning Map,Generic planning map,"Related, not RIP-specific",Public,https://txdot.github.io/StatewidePlanningMap/StatewidePlanningMap.html,Statewide planning data map used by TxDOT planning operations.,Statewide network / planning layers,Related planning GIS; not a STRP/RIP risk-scoring viewer.,TxDOT Statewide Planning Map,Separate from RIP-specific outputs.
TX,TxDOT,STIP dashboards,Generic project dashboard,"Related, not RIP-specific",Public,https://www.txdot.gov/projects/planning/stip/stip-dashboards.html,Interactive dashboards for planned transportation projects across Texas.,Project / district / MPO,"Can help inspect existing project pipeline, but not STRP-specific scoring.",TxDOT STIP dashboards page,"Useful for project pipeline context, not resilience-specific."
