code,state,status,method,inputs,scale,project,source
CA,California / Caltrans,Quantitative prioritization described; weights/formula not in SCRIPT,"Adaptation Priorities Reports (APRs) rank exposed State Highway System assets using prioritization scores. SCRIPT says scores consider timing of climate impacts, severity/span, asset condition as sensitivity, number of users affected, and network redundancy; district/local knowledge can adjust rankings. STCAP/LTCAP project funding additionally considers recurring damage/failure risk, mobility/economy/safety benefits, community/environment/critical-infrastructure benefits, equity, and secondary GHG/VMT co-benefits.",Climate stressor exposure; impact timing; severity/span; asset condition; users affected; redundancy; equity/co-benefits for project selection.,Prioritization scores/rankings; exact numeric scale not disclosed in SCRIPT.,"Projects initially screened using APR data or Cal-Adapt; funding selection checks vulnerability, policy alignment, schedule, permitting, and equity/co-benefits.","CA_Caltrans_SCRIPT_RIP_2023_Amendment1.pdf pp.29,31-32"
CO,Colorado / CDOT,Explicit quantitative formula,"CDOT scores risk as Risk Score = T x C x V. T is threat likelihood/probability, C is consequence of impact, and V is vulnerability/probability that the estimated consequence is realized. Threats and risk scores are updated every four years with the TAMP cycle or as needed.","Threat likelihood; consequence; vulnerability. System criticality also uses AADT, redundancy, roadway classification, freight value, social vulnerability, and tourism value.",T is scored 1-5; C and V use scoring rubrics referenced in Section 7.1. Product gives risk score.,10-Year Plan resilience integration uses criticality GIS to identify high/medium/low criticality and focus resilience assessment on high-opportunity projects.,"CO_CDOT_Resilience_Improvement_Plan.pdf pp.15,24-25,41"
CT,Connecticut / CTDOT,Method in development; no final scoring formula,"CTDOT is developing a FHWA VAST-based vulnerability assessment. The plan identifies exposure, sensitivity, and adaptive capacity as the indicator types, but Step 4 Assess Vulnerability is still ongoing/refining.","Four hazards: flooding, hurricane/tropical cyclone/storm surge, extreme heat, extreme cold/winter weather; asset location, condition, characteristics, surrounding community; exposure/sensitivity/adaptive capacity.",No final scoring scale or formula published in the RIP excerpt; VAST-based model under development.,RIP includes a PROTECT-eligible project screening process and project categories; scoring criteria are not finalized in the downloaded plan.,"CT_CTDOT_Resilience_Improvement_Plan.pdf pp.18-20,58-59"
DE,Delaware / DelDOT,Weighted matrix plus developing quantitative risk model,"DelDOT first used maintenance-district input to identify frequently flooded roadways, then applied a weighted prioritization matrix. It is moving to quantitative annual-risk modeling for bridges and pavement vulnerable to rainfall and sunny-day flooding.","Frequently flooded roadway history; flood datasets; traffic/infrastructure; community factors; owner costs; user costs; threat probabilities such as embankment erodibility, roadway flooding, bridge flooding, debris potential.",Frequently Flooded Roadways matrix: Flood History 50 pts; Flood Data 25 pts; Infrastructure/Traffic 15 pts; Community 10 pts. Subfactors are equally weighted within categories as listed. Quant model outputs risk for assets/corridors.,"Risk model outputs feed resilience investment strategy; additional criteria include route criticality, essential facilities, equity, AADT, DTC ridership, community size, employment density, readiness, bundling, timeliness, and recent capital work.","DE_DelDOT_DRIP_FHWA_Approved_2023.pdf pp.27-32,41"
FL,Florida / FDOT,No risk scoring method in downloaded file,"Downloaded FDOT file is a Community Engagement Plan for resilience activities, not the RIP methodology. It discusses identifying vulnerabilities and resilience-related plans/projects but does not define a scoring formula.",Public/stakeholder engagement around resilience activities; vulnerability identification mentioned generally.,No scoring scale found in downloaded PDF.,No project risk scoring method found in downloaded PDF.,FL_FDOT_RIP_CEP_Final.pdf pp.1-4
IA,Iowa / Iowa DOT,Explicit hazard formula; project composite ranking described,Iowa DOT RWG prioritized natural hazards using a risk-based assessment: risk/vulnerability = likelihood x consequence. Lower likelihood values mean rare events; higher values mean higher probability. Lower consequence values mean lower transportation-system impact; higher values mean significant damage.,"Hazard likelihood and consequence; later project screening uses identified vulnerabilities/hazards, PROTECT eligibility, location criticality, and cost effectiveness.",Hazards grouped into three tiers by risk scores and preferred mitigation approach. Exact numeric scale for likelihood/consequence is shown in matrix/table but not fully extracted as text.,Annual district solicitation; two-phase screening for vulnerabilities and PROTECT eligibility; projects ranked by system criticality and cost effectiveness; composite ranking reviewed by RWG and Program Team for 5YP/STIP candidates.,"IA_IowaDOT_2024_Resilience_Improvement_Plan.pdf pp.38-39,53,62"
KY,Kentucky / KYTC,Explicit matrix + FHWA VAST scoring,"KYTC describes a hybrid risk-based vulnerability assessment: data analysis, district workshops, and GIS compilation. A risk matrix considers likelihood and severity/consequence. Appendix uses FHWA VAST: exposure, sensitivity, and adaptive capacity indicators produce vulnerability scores.","Likelihood 1-5; severity/consequence; exposure; sensitivity; adaptive capacity; 22 datasets for earthquake, flooding, landslide, sinkholes; workshop keypad inputs; asset criticality indicators.","Likelihood is 1-5. VAST indicator scores are 1-4; exposure/sensitivity high score = more exposure/sensitivity; adaptive capacity high score = less capacity. Exposure/sensitivity/adaptive capacity default weights are 33% each; final vulnerability score is 1-4, higher = more vulnerable.",Assets with vulnerability score >=3.5 are highlighted by district/hazard; GIS database supports maps and project prioritization.,"KY_KYTC_Resiliency_Improvement_Plan_2023.pdf pp.19,53 and district result pages"
MD,Maryland / MDOT,Multiple modal methods; statewide quantitative approach in progress,"MDOT uses MDEM hazard probability ratings and modal vulnerability assessments. SHA scored roadway assets for threats such as storm surge and sea-level rise. MDOT is moving toward quantitative asset-level risk assessments using asset location, condition/design parameters, and threat likelihood.","Hazard probability; asset location; condition; design parameters; threat likelihood; Climate Change Vulnerability Viewer; FEMA FIRM; maintenance records; system redundancy, demand, social vulnerability in pilot.","MDEM hazard probability rating: 1 unlikely (< once/30 years), 2 likely (< once/5 years but > once/30 years), 3 highly likely (> once/5 years). Pilot annual risk cost = owner risk from asset failure/repair + user risk from rerouting.","Prioritization intended to use annualized risk with social, economic, and financial impacts; FFY22-23 funds focused on implementation-ready/immediate-benefit projects.","MD_MDOT_Transportation_Resilience_Improvement_Plan_2024.pdf pp.11-12,27,29,32"
MI,Michigan / MDOT,Explicit weighted formula,"Michigan calculates risk from exposure, sensitivity, and criticality. Formula: Risk = (Criticality Score x 25%) + ((Exposure x 75% + Sensitivity x 25%) x 75%). Vulnerability is the exposure/sensitivity component and contributes 75% of total risk.","Exposure; sensitivity; criticality. Criticality indicators include AADT, commercial AADT, functional class, NHS status, CEJEST disadvantaged communities. Exposure varies by hazard; sensitivity includes condition/scour/age/asset type.",Each asset score is 1-4. High risk = 3-4; medium = 2-2.99; low = 1-1.99. Exposure and sensitivity tables use percentile/natural-break values and hazard-specific weights.,High-risk asset counts by hazard/asset type support implementation prioritization; examples include detailed factor-level scores for use cases.,"MI_MDOT_Resilience_Improvement_Plan_2024.pdf pp.21,24-25,74,80"
MN,Minnesota / MnDOT,Quantitative climate risk score; formula summarized not fully numeric,"MnDOT combines asset-level climate hazard exposure with potential traveler impacts to create climate risk scores for roads, bridges/large culverts, and slopes.",Hazard exposure across timeframes/emissions scenarios; traveler impacts measured by federal functional classification as proxy for travelers affected; network density as proxy for redundancy/detour options.,"Climate risk score categories: Very Low, Low, Medium, High, Very High. Exact numeric calculation not disclosed in main text; Appendix B contains method details.",RIP data can inform corridor risk tools and project scoping. PROTECT Formula project selection is decentralized through districts/ATPs with guidance from RIP and federal requirements.,"MN_MnDOT_Resilience_Improvement_Plan_2024.pdf pp.29-30,48,51"
MS,Mississippi / MDOT,Index-based vulnerability scoring; no single overall formula found,"Mississippi builds a statewide Vulnerability Index using FEMA NRI and other datasets, plus an Asset Criticality Index. Community vulnerability is scored by inverting BRIC resilience category scores; FEMA NRI hazards use 0-5 risk categories.",FEMA NRI hazard scores; NOAA/SLOSH flood/storm surge/SLR data; EJScreen/ACS; job and population density; freight network tiers/intermodal connectors; BRIC categories; dam density and hazard class.,"FEMA NRI: 5 very high, 4 relatively high, 3 relatively moderate, 2 relatively low, 1 very low, 0 no concern/no data. BRIC six categories: upper half = 0, lower half = 1, summed to community vulnerability 1-5. Dam index weights density and hazard class, with high-hazard dams weighted most.",Vulnerability Index and Asset Criticality Index evaluate and rank transportation-system criticality; detailed project prioritization formula not found in selected pages.,"MS_MDOT_Resilience_Improvement_Plan.pdf pp.20,26,31,34,37"
NC,North Carolina / NCDOT,Explicit multicriteria point scoring,"NCDOT uses a multicriteria resilience prioritization process to rank vulnerable areas/projects using Criticality Score, Exposure Score, and Sensitivity Score. Only assets on the Criticality Map and exposed to selected hazards are scored.","Criticality map; exposure to inland flooding, coastal SLR/storm surge, geotechnical hazards; deterministic return periods; probabilistic SLR/CRIS/FEMA NRI annualized frequency; sensitivity by IRI, bridge scour/substructure/channel protection, culvert condition, past washouts.","Low/Medium/High point process; lowest possible score = 3, highest = 12. Exposure and sensitivity are binned L/M/H; high exposure for two hazards + high sensitivity + high criticality reaches 12.",STIP projects on the Criticality Map and exposed to hazards are included in prioritization; ranked areas/projects guide resilience investments.,"NC_NCDOT_Resilience_Strategy_Report.pdf pp.49,51-53"
NM,New Mexico / NMDOT,Explicit matrix + hotspot ranking,"NMDOT assigns resilience risk to highway segments <=0.1 mile using exposure, sensitivity, and criticality. Scores are converted to High/Medium/Low by percentile and then combined through criticality-specific matrices into A-D risk classes.","Exposure; sensitivity; criticality. Freight-network roads/structures automatically receive high criticality. Future exposure adjustment factors are used for wildfire, floods, and drought.","A = Low, B = Medium, C = High, D = Very High. Exposure/sensitivity/criticality High = 75-100%, Medium = 50-74.9%, Low = 0-49.9%. Hotspot adjusted risk = adjusted exposure score x sensitivity score x criticality score; future exposure adjustment capped at +/-25%.",High/very-high segments are aggregated into hotspots; hotspots ranked statewide and by district using length-weighted average adjusted resilience risk.,"NM_NMDOT_Resilience_Improvement_Plan_2024.pdf pp.30-32,37"
